sched_hour,op_hour
23.5,23.55
23.5,23.65
23.5,23.65
23.5,23.55
23.5,23.466666666666665
23.5,0.06666666666666667
23.5,23.416666666666668
23.5,23.416666666666668
23.5,0.16666666666666666
23.5,0.65
23.5,23.35
23.5,23.733333333333334
23.5,23.383333333333333
23.5,23.433333333333334
23.5,23.316666666666666
23.5,23.35
23.5,23.35
23.5,23.3
22.0,22.25
22.0,21.966666666666665
22.0,22.033333333333335
22.0,22.133333333333333
22.0,21.916666666666668
22.0,22.866666666666667
22.0,21.916666666666668
22.0,22.0
22.0,22.433333333333334
22.0,21.95
22.0,21.916666666666668
22.0,22.033333333333335
22.0,22.033333333333335
22.0,21.883333333333333
22.0,21.983333333333334
22.0,22.083333333333332
22.0,21.933333333333334
22.0,22.016666666666666
22.0,21.916666666666668
22.0,22.05
22.0,21.966666666666665
22.0,21.933333333333334
22.0,21.9
22.0,22.066666666666666
22.0,21.933333333333334
22.0,21.933333333333334
22.0,21.85
22.0,21.833333333333332
22.0,22.0
22.0,21.966666666666665
22.5,22.516666666666666
22.5,22.433333333333334
22.5,22.666666666666668
22.5,22.833333333333332
22.5,22.683333333333334
22.5,22.9
22.5,22.416666666666668
22.5,22.383333333333333
22.5,22.733333333333334
22.5,22.583333333333332
22.5,22.5
22.5,22.916666666666668
22.5,22.516666666666666
22.5,22.5
22.5,22.433333333333334
22.5,22.716666666666665
22.5,22.45
22.5,22.533333333333335
22.5,22.416666666666668
22.5,22.5
22.5,22.466666666666665
22.5,22.55
22.5,22.35
22.5,22.583333333333332
22.5,22.45
22.5,22.433333333333334
22.5,22.333333333333332
22.5,22.35
22.5,23.533333333333335
22.5,22.533333333333335
22.5,22.366666666666667
13.583333333333334,13.9
13.583333333333334,14.583333333333334
13.583333333333334,13.866666666666667
13.583333333333334,14.016666666666667
13.583333333333334,13.816666666666666
13.583333333333334,14.7
13.583333333333334,14.983333333333333
13.583333333333334,14.633333333333333
13.583333333333334,15.2
13.583333333333334,13.866666666666667
13.583333333333334,15.083333333333334
13.583333333333334,15.75
13.583333333333334,13.983333333333333
13.583333333333334,14.866666666666667
13.583333333333334,14.116666666666667
13.583333333333334,14.233333333333333
13.583333333333334,14.383333333333333
13.583333333333334,13.683333333333334
13.583333333333334,13.616666666666667
13.583333333333334,14.05
13.583333333333334,13.766666666666667
13.583333333333334,14.133333333333333
13.583333333333334,14.733333333333333
13.583333333333334,13.916666666666666
13.583333333333334,13.633333333333333
13.583333333333334,13.95
13.583333333333334,13.933333333333334
13.583333333333334,13.95
13.583333333333334,14.033333333333333
13.583333333333334,13.683333333333334
21.166666666666668,21.5
21.166666666666668,21.45
21.166666666666668,21.483333333333334
21.166666666666668,21.95
21.166666666666668,21.25
21.166666666666668,22.216666666666665
21.166666666666668,22.083333333333332
21.166666666666668,22.05
21.166666666666668,22.916666666666668
21.166666666666668,21.5
21.166666666666668,22.366666666666667
21.166666666666668,21.6
21.166666666666668,22.816666666666666
21.166666666666668,22.033333333333335
21.166666666666668,21.716666666666665
21.166666666666668,23.616666666666667
21.166666666666668,21.466666666666665
21.166666666666668,21.583333333333332
21.166666666666668,21.25
21.166666666666668,21.516666666666666
21.166666666666668,21.383333333333333
21.166666666666668,21.516666666666666
21.166666666666668,21.35
21.166666666666668,21.1
21.166666666666668,21.15
21.166666666666668,21.3
21.166666666666668,21.266666666666666
21.166666666666668,21.1
21.166666666666668,21.266666666666666
14.416666666666666,14.35
14.416666666666666,14.416666666666666
14.416666666666666,14.466666666666667
14.416666666666666,14.4
14.416666666666666,14.25
14.416666666666666,14.683333333333334
14.416666666666666,14.4
14.416666666666666,14.433333333333334
14.416666666666666,14.65
14.416666666666666,14.55
14.416666666666666,14.533333333333333
14.416666666666666,14.533333333333333
14.416666666666666,14.5
14.416666666666666,14.7
14.416666666666666,14.433333333333334
14.416666666666666,14.616666666666667
14.416666666666666,14.366666666666667
14.416666666666666,14.966666666666667
14.416666666666666,14.516666666666667
14.416666666666666,14.35
14.416666666666666,14.55
14.416666666666666,14.533333333333333
14.416666666666666,14.4
14.416666666666666,14.466666666666667
14.416666666666666,14.3
14.416666666666666,14.616666666666667
14.416666666666666,14.383333333333333
14.416666666666666,14.533333333333333
14.416666666666666,14.65
14.416666666666666,14.65
14.416666666666666,14.333333333333334
0.25,0.06666666666666667
0.25,0.4666666666666667
0.25,0.21666666666666667
0.25,0.05
0.25,0.36666666666666664
0.25,0.23333333333333334
0.25,0.48333333333333334
0.25,0.13333333333333333
22.583333333333332,22.483333333333334
22.583333333333332,22.583333333333332
22.583333333333332,22.533333333333335
22.583333333333332,22.433333333333334
22.583333333333332,22.516666666666666
22.583333333333332,22.55
22.583333333333332,22.466666666666665
22.583333333333332,22.533333333333335
22.583333333333332,22.6
22.583333333333332,22.65
22.583333333333332,22.433333333333334
22.583333333333332,0.8833333333333333
22.583333333333332,22.566666666666666
22.583333333333332,22.366666666666667
22.583333333333332,22.4
22.583333333333332,22.4
22.583333333333332,22.433333333333334
22.583333333333332,22.466666666666665
22.583333333333332,22.5
22.583333333333332,22.566666666666666
22.583333333333332,22.55
22.583333333333332,22.8
22.583333333333332,22.433333333333334
0.25,0.23333333333333334
10.583333333333334,10.416666666666666
10.583333333333334,10.616666666666667
10.583333333333334,10.55
10.583333333333334,11.1
